Usage Summary

Rank |        NDC11 | Drug Name                          | Quant. |      % | Cuml %
------------------------------------------------------------------------------------
   1 |  00904198280 | ACETAMINOPHEN 325MG TAB (TAB)      |  30024 |   2.05 |   2.05
   2 |  00228253996 | CARB-LEVO 25-100 TAB (TAB)         |  22261 |   1.52 |   3.57
   3 |  00603017932 | FERROUS SULF 325 MG TAB (TAB)      |  21710 |   1.48 |   5.06
   4 |  00536408610 | SENEXON-S TAB (TAB)                |  21190 |   1.45 |    6.5
   5 |  00054010128 | AMLODIPINE 5MG TAB (TAB)           |  20456 |    1.4 |    7.9
   6 |  00904198880 | ACETAMINOPHEN 500MG TAB (TAB)      |  19764 |   1.35 |   9.25
   7 |  62175061743 | PANTOPRAZOLE 40MG*DNC*TAB (TAB)    |  18428 |   1.26 |  10.51
   8 |  00054022031 | QUETIAPINE FUM 25 MG TAB (TAB)     |  17992 |   1.23 |  11.74
   9 |  63739067510 | GABAPENTIN 100 MG  CAP (CAP)       |  16034 |    1.1 |  12.83
  10 |  00781571010 | POTASSIUM CL 10MEQ ER*DNC* (TAB)   |  16007 |   1.09 |  13.93
  11 |  57664039758 | METFORMIN HCL 500 MG TAB (TAB)     |  15473 |   1.06 |  14.99
  12 |  00904421713 | VITAMIN B-12 1000 MCG TAB (TAB)    |  14586 |      1 |  15.98
  13 |  00603002632 | ASPIRIN  81MG  EC  TAB *DNC (TAB)  |  14533 |   0.99 |  16.97
  14 |  57896050410 | MULTIVITAMIN ONE-DAILY (TAB)       |  13732 |   0.94 |  17.91
  15 |  00904628889 | ASPIRIN 81MG CHEW TAB (TAB)        |  13581 |   0.93 |  18.84
  16 |  60505025303 | CLOPIDOGREL 75 MG TAB (TAB)        |  12864 |   0.88 |  19.72
  17 |  65862059805 | TAMSULOSIN HCL 0.4 MG*DNC* (CAP)   |  12820 |   0.88 |   20.6
  18 |  60505011308 | GABAPENTIN 300 MG CAP (CAP)        |  12221 |   0.83 |  21.43
  19 |  00527134210 | LEVOTHYROXINE 50 MCG TAB (TAB)     |  11753 |    0.8 |  22.23
  20 |  65862006399 | METOPROLOL TART 50 MG TAB (TAB)    |  11564 |   0.79 |  23.02
  21 |  00904643480 | SENNA 8.6 MG TAB (TAB)             |  11526 |   0.79 |  23.81
  22 |  16729000517 | SIMVASTATIN 20 MG TAB (TAB)        |  11165 |   0.76 |  24.57
  23 |  00172572880 | FAMOTIDINE 20MG  TAB (TAB)         |  11118 |   0.76 |  25.33
  24 |  65162036111 | FOLIC ACID 1 MG TABLET (TAB)       |  10818 |   0.74 |  26.07
  25 |  00904615760 | VITAMIN D3 2,000 UNIT TAB (TAB)    |  10700 |   0.73 |   26.8
  26 |  60505257808 | ATORVASTATIN 10MG TAB (TAB)        |  10678 |   0.73 |  27.53
  27 |  00054010228 | AMLODIPINE 10MG TAB (TAB)          |  10436 |   0.71 |  28.25
  28 |  65862006299 | METOPROLOL TART 25 MG TAB (TAB)    |  10041 |   0.69 |  28.93
  29 |  60505313208 | QUETIAPINE FUM 50 MG TAB (TAB)     |   9353 |   0.64 |  29.57
  30 |  00904582460 | VITAMIN D 1,000 IU TAB (TAB)       |   9303 |   0.64 |  30.21
  31 |  13668010210 | DONEPEZIL 5 MG TAB (TAB)           |   9295 |   0.64 |  30.84
  32 |  60505257908 | ATORVASTATIN 20MG TAB (TAB)        |   9277 |   0.63 |  31.48
  33 |  00527134310 | LEVOTHYROXINE 75 MCG TAB (TAB)     |   9132 |   0.62 |   32.1
